NDVI,GNDVI,NDRE,DryYield
0.63748,0.777,0.5195,595.4899
0.63748,0.777,0.5195,393.4266
0.64497,0.77381,0.5365,384.6786
0.64919,0.77771,0.54049,454.5005
0.65734,0.7872,0.55532,400.3012
0.65734,0.7872,0.55532,407.4268
0.66291,0.79168,0.55755,406.0465
0.66357,0.78995,0.55632,371.8088
0.66237,0.7877,0.55713,431.2138
0.66237,0.7877,0.55713,380.1428
0.64782,0.78148,0.54245,421.3335
0.64833,0.77811,0.54696,404.3316
0.65493,0.77666,0.54284,403.7125
0.65493,0.77666,0.54284,362.6936
0.64784,0.76775,0.53918,397.1113
0.64146,0.77307,0.53043,419.6114
0.63949,0.78019,0.53359,422.1939
0.63949,0.78019,0.53359,384.3089
0.64719,0.78351,0.53497,376.2726
0.64457,0.77419,0.52778,332.5954
0.63018,0.76218,0.52324,348.5558
0.63018,0.76218,0.52324,352.9505
0.63779,0.76506,0.52089,384.2723
0.63596,0.76549,0.51977,360.1549
0.63366,0.76431,0.51864,397.7501
0.63366,0.76431,0.51864,344.4368
0.62602,0.76453,0.50924,371.9949
0.6235,0.76186,0.51115,327.9913
0.63925,0.76724,0.52504,321.328
0.63925,0.76724,0.52504,363.7277
0.62941,0.77292,0.52016,309.4841
0.61894,0.7545,0.50051,316.7983
0.60852,0.75083,0.49871,318.2756
0.61083,0.75114,0.50026,323.6314
0.61083,0.75114,0.50026,333.9596
0.62344,0.75336,0.5068,340.0559
0.61978,0.74875,0.50241,324.9686
0.63431,0.7597,0.51156,244.9895
0.60711,0.76214,0.50084,534.5791
0.60711,0.76214,0.50084,379.0583
0.61961,0.76661,0.52277,470.5169
0.63132,0.76989,0.53154,424.6584
0.63948,0.77666,0.54233,423.2718
0.63948,0.77666,0.54233,376.1889
0.64408,0.7788,0.55007,407.2299
0.64635,0.77702,0.54677,391.0163
0.63721,0.77172,0.54035,405.5043
0.63721,0.77172,0.54035,400.2487
0.62659,0.76981,0.52644,371.9871
0.63392,0.76387,0.5324,393.1414
0.62864,0.76126,0.52429,449.6323
0.65493,0.77666,0.54284,382.1957
0.64784,0.76775,0.53918,373.251
0.64146,0.77307,0.53043,422.3721
0.63949,0.78019,0.53359,382.5924
0.63949,0.78019,0.53359,394.0758
0.64719,0.78351,0.53497,363.8269
0.64457,0.77419,0.52778,398.7059
0.63018,0.76218,0.52324,399.9493
0.63018,0.76218,0.52324,351.5033
0.63779,0.76506,0.52089,344.3255
0.63596,0.76549,0.51977,362.6538
0.63366,0.76431,0.51864,377.5349
0.63366,0.76431,0.51864,376.4343
0.62602,0.76453,0.50924,332.5237
0.6235,0.76186,0.51115,331.9389
0.63925,0.76724,0.52504,350.3542
0.63925,0.76724,0.52504,330.8544
0.62941,0.77292,0.52016,353.4972
0.61894,0.7545,0.50051,313.092
0.60852,0.75083,0.49871,326.9808
0.61083,0.75114,0.50026,355.7405
0.61083,0.75114,0.50026,399.483
0.62344,0.75336,0.5068,349.2285
0.61978,0.74875,0.50241,321.0894
0.63431,0.7597,0.51156,238.5563
0.60711,0.76214,0.50084,335.3786
0.60711,0.76214,0.50084,383.8456
0.61961,0.76661,0.52277,365.5775
0.63132,0.76989,0.53154,377.1144
0.63948,0.77666,0.54233,391.2699
0.63948,0.77666,0.54233,414.9012
0.64408,0.7788,0.55007,376.2425
0.64635,0.77702,0.54677,377.3211
0.63721,0.77172,0.54035,361.7606
0.63721,0.77172,0.54035,375.9404
0.62659,0.76981,0.52644,410.9777
0.63392,0.76387,0.5324,381.591
0.62864,0.76126,0.52429,341.8755
0.62864,0.76126,0.52429,340.3455
0.62461,0.75971,0.5272,376.2234
0.61837,0.75577,0.52092,396.1177
0.61834,0.75968,0.51925,320.1884
0.61834,0.75968,0.51925,307.7197
0.61797,0.76402,0.52125,345.6384
0.61468,0.76,0.5152,333.1037
0.60698,0.752,0.51125,388.7565
0.60698,0.752,0.51125,345.8641
0.61095,0.74861,0.50734,319.9276
0.60903,0.74808,0.51099,342.621
0.61124,0.74869,0.5093,317.1019
0.61124,0.74869,0.5093,363.604
0.60564,0.74548,0.50224,337.4602
0.60763,0.74315,0.5046,299.9824
0.61953,0.76367,0.51316,321.5355
0.61953,0.76367,0.51316,333.1735
0.6027,0.74586,0.50556,321.5828
0.59718,0.73702,0.48789,353.0608
0.58369,0.73617,0.48107,301.0105
0.58928,0.73908,0.48706,340.9433
0.58928,0.73908,0.48706,332.8171
0.598,0.74002,0.49935,407.3688
0.5978,0.73975,0.49512,405.0043
0.61822,0.75426,0.50479,302.344
0.61822,0.75426,0.50479,325.1901
0.60832,0.75202,0.51215,330.7341
0.60832,0.75202,0.51215,412.8033
0.61459,0.76189,0.51699,385.2586
